date,province_thai,province_eng,region_thai,region_eng,variable,value
01-01-19,กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,occupancy_rate,93.37
01-01-19,ลพบุรี,Lopburi ,ภาคกลาง,central,occupancy_rate,61.32
01-01-19,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,occupancy_rate,73.37
01-01-19,สระบุรี,Saraburi ,ภาคกลาง,central,occupancy_rate,67.33
01-01-19,ชัยนาท,Chainat ,ภาคกลาง,central,occupancy_rate,79.31
01-01-19,นครปฐม,Nakhon Pathom ,ภาคกลาง,central,occupancy_rate,71.7
01-01-19,สิงห์บุรี,Sing Buri ,ภาคกลาง,central,occupancy_rate,64.65
01-01-19,อ่างทอง,Ang Thong ,ภาคกลาง,central,occupancy_rate,71.21
01-01-19,นนทบุรี,Nonthaburi ,ภาคกลาง,central,occupancy_rate,75.07
01-01-19,ปทุมธานี,Pathum Thani ,ภาคกลาง,central,occupancy_rate,60.77
01-01-19,สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,occupancy_rate,72.5
01-01-19,สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,occupancy_rate,61.64
01-01-19,ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,occupancy_rate,59.4
01-01-19,ราชบุรี,Ratchaburi ,ภาคกลาง,central,occupancy_rate,75.09
01-01-19,กาญจนบุรี,Kanchanaburi ,ภาคกลาง,central,occupancy_rate,83.8
01-01-19,สมุทรสงคราม,Samut Songkhram ,ภาคกลาง,central,occupancy_rate,75.6
01-01-19,สุพรรณบุรี,Suphan Buri ,ภาคกลาง,central,occupancy_rate,89.43
01-01-19,เพชรบุรี,Phetchaburi ,ภาคกลาง,central,occupancy_rate,81.2
01-01-19,ประจวบคีรีขันธ์,Prachuap Khiri Khan ,ภาคกลาง,central,occupancy_rate,64.55
01-01-19,ชลบุรี,Chonburi ,ภาคตะวันออก,east,occupancy_rate,84.33
01-01-19,จันทบุรี,Chanthaburi ,ภาคตะวันออก,east,occupancy_rate,68.86
01-01-19,ตราด,Trat ,ภาคตะวันออก,east,occupancy_rate,80.48
01-01-19,นครนายก,Nakhon Nayok ,ภาคตะวันออก,east,occupancy_rate,68.39
01-01-19,ปราจีนบุรี,Prachinburi ,ภาคตะวันออก,east,occupancy_rate,68.57
01-01-19,ระยอง,Rayong ,ภาคตะวันออก,east,occupancy_rate,70.11
01-01-19,สระแก้ว,Sa Kaeo ,ภาคตะวันออก,east,occupancy_rate,56.69
01-01-19,ภูเก็ต,Phuket ,ภาคใต้,south,occupancy_rate,86.05
01-01-19,พัทลุง,Phatthalung ,ภาคใต้,south,occupancy_rate,68.66
01-01-19,ตรัง,Trang ,ภาคใต้,south,occupancy_rate,72.3
01-01-19,ระนอง,Ranong ,ภาคใต้,south,occupancy_rate,59.33
01-01-19,ชุมพร,Chumphon ,ภาคใต้,south,occupancy_rate,61.94
01-01-19,ปัตตานี,Pattani ,ภาคใต้,south,occupancy_rate,78.47
01-01-19,ยะลา,Yala ,ภาคใต้,south,occupancy_rate,52.53
01-01-19,นครศรีธรรมราช,Nakhon Si Thammarat ,ภาคใต้,south,occupancy_rate,59.84
